Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-04-14 09:30:00-04:00,443.54998779296875,444.7301025390625,440.510009765625,441.30999755859375,19577095,0.0,0.0,0.0
2022-04-14 10:30:00-04:00,441.2900085449219,442.2699890136719,440.8299865722656,442.0400085449219,10798360,0.0,0.0,0.0
2022-04-14 11:30:00-04:00,442.04998779296875,442.2200012207031,439.9700012207031,440.090087890625,6475272,0.0,0.0,0.0
2022-04-14 12:30:00-04:00,440.0899963378906,440.2900085449219,439.4700012207031,439.989990234375,8076638,0.0,0.0,0.0
2022-04-14 13:30:00-04:00,439.989990234375,441.8299865722656,439.8999938964844,440.9100036621094,7016303,0.0,0.0,0.0
2022-04-14 14:30:00-04:00,440.9200134277344,441.1300048828125,438.8800048828125,439.5,9487135,0.0,0.0,0.0
2022-04-14 15:30:00-04:00,439.1000061035156,439.239990234375,437.67999267578125,437.8599853515625,16668458,0.0,0.0,0.0
2022-04-18 09:30:00-04:00,436.80999755859375,439.5,436.7300109863281,438.760009765625,13777478,0.0,0.0,0.0
2022-04-18 10:30:00-04:00,438.75,439.5,437.0249938964844,437.32000732421875,5758934,0.0,0.0,0.0
2022-04-18 11:30:00-04:00,437.3299865722656,437.4100036621094,435.7900085449219,435.9200134277344,5669016,0.0,0.0,0.0
2022-04-18 12:30:00-04:00,435.9200134277344,437.55999755859375,435.7099914550781,437.2900085449219,4698778,0.0,0.0,0.0
2022-04-18 13:30:00-04:00,437.2699890136719,439.75,437.20001220703125,438.95001220703125,8126414,0.0,0.0,0.0
2022-04-18 14:30:00-04:00,438.93499755859375,439.5400085449219,437.0299987792969,437.07000732421875,6741166,0.0,0.0,0.0
2022-04-18 15:30:00-04:00,437.07501220703125,438.010009765625,435.6300048828125,437.989990234375,10757681,0.0,0.0,0.0
2022-04-19 09:30:00-04:00,437.8599853515625,442.8800048828125,437.67999267578125,442.7200012207031,16341351,0.0,0.0,0.0
2022-04-19 10:30:00-04:00,442.7120056152344,443.8800048828125,442.489990234375,443.7200012207031,9112795,0.0,0.0,0.0
2022-04-19 11:30:00-04:00,443.7200012207031,444.2250061035156,443.2699890136719,443.56549072265625,5865827,0.0,0.0,0.0
2022-04-19 12:30:00-04:00,443.57000732421875,443.7497863769531,442.6499938964844,442.69500732421875,4982409,0.0,0.0,0.0
2022-04-19 13:30:00-04:00,442.70001220703125,443.8699951171875,442.44000244140625,442.9895935058594,5610184,0.0,0.0,0.0
2022-04-19 14:30:00-04:00,442.9855041503906,445.3500061035156,442.7699890136719,445.1099853515625,8434780,0.0,0.0,0.0
2022-04-19 15:30:00-04:00,445.1300048828125,445.79998779296875,444.2300109863281,445.010009765625,17028442,0.0,0.0,0.0
2022-04-20 09:30:00-04:00,446.9200134277344,447.3500061035156,444.3699951171875,445.80999755859375,16179356,0.0,0.0,0.0
2022-04-20 10:30:00-04:00,445.8299865722656,447.25,445.05999755859375,445.5799865722656,8647888,0.0,0.0,0.0
2022-04-20 11:30:00-04:00,445.5899963378906,446.55999755859375,444.7950134277344,445.05999755859375,5976758,0.0,0.0,0.0
2022-04-20 12:30:00-04:00,445.0299987792969,446.9200134277344,444.95001220703125,446.1549987792969,6095784,0.0,0.0,0.0
2022-04-20 13:30:00-04:00,446.1499938964844,447.19000244140625,445.3399963378906,445.3900146484375,5004465,0.0,0.0,0.0
2022-04-20 14:30:00-04:00,445.3999938964844,445.8900146484375,443.4800109863281,445.4700012207031,9080593,0.0,0.0,0.0
2022-04-20 15:30:00-04:00,445.4750061035156,446.3900146484375,444.4200134277344,444.6600036621094,9525415,0.0,0.0,0.0
2022-04-21 09:30:00-04:00,448.5400085449219,450.010009765625,447.8599853515625,448.6918029785156,13962228,0.0,0.0,0.0
2022-04-21 10:30:00-04:00,448.7200012207031,448.95001220703125,446.3900146484375,446.6899108886719,7798173,0.0,0.0,0.0
2022-04-21 11:30:00-04:00,446.6700134277344,446.7099914550781,443.489990234375,443.6300048828125,8774858,0.0,0.0,0.0
2022-04-21 12:30:00-04:00,443.6400146484375,444.4100036621094,441.3599853515625,443.2650146484375,10357690,0.0,0.0,0.0
2022-04-21 13:30:00-04:00,443.2699890136719,443.6199951171875,440.34100341796875,440.7099914550781,10123303,0.0,0.0,0.0
2022-04-21 14:30:00-04:00,440.69000244140625,441.92498779296875,437.864990234375,439.489990234375,13229632,0.0,0.0,0.0
2022-04-21 15:30:00-04:00,439.4800109863281,439.55999755859375,437.1000061035156,438.0400085449219,14903064,0.0,0.0,0.0
2022-04-22 09:30:00-04:00,436.9100036621094,437.2300109863281,432.82000732421875,432.94000244140625,20433134,0.0,0.0,0.0
