Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-12-01 00:00:00-05:00,352.15,354.18,351.53,352.58,74231400,0.0,0.0,0.0
2020-12-02 00:00:00-05:00,351.43,353.49,350.83,353.33,45927000,0.0,0.0,0.0
2020-12-03 00:00:00-05:00,353.22,354.67,352.08,353.23,62882000,0.0,0.0,0.0
2020-12-04 00:00:00-05:00,353.84,356.27,353.74,356.27,50749900,0.0,0.0,0.0
2020-12-07 00:00:00-05:00,355.47,356.05,354.22,355.54,48944300,0.0,0.0,0.0
2020-12-08 00:00:00-05:00,354.22,357.17,354.17,356.58,42458900,0.0,0.0,0.0
2020-12-09 00:00:00-05:00,357.27,357.43,352.52,353.38,74098300,0.0,0.0,0.0
2020-12-10 00:00:00-05:00,351.96,354.36,351.05,353.27,57735400,0.0,0.0,0.0
2020-12-11 00:00:00-05:00,351.51,353.28,349.93,352.85,57698600,0.0,0.0,0.0
2020-12-14 00:00:00-05:00,355.11,356.23,351.09,351.27,69216200,0.0,0.0,0.0
2020-12-15 00:00:00-05:00,353.91,356.02,352.49,356.02,63865300,0.0,0.0,0.0
2020-12-16 00:00:00-05:00,356.24,357.54,355.33,356.58,58420500,0.0,0.0,0.0
2020-12-17 00:00:00-05:00,358.29,358.79,357.43,358.58,64119500,0.0,0.0,0.0
2020-12-18 00:00:00-05:00,358.88,359.05,355.05,357.14,136542300,1.58,0.0,0.0
2020-12-21 00:00:00-05:00,353.07,366.12,350.23,355.87,96386700,0.0,0.0,0.0
2020-12-22 00:00:00-05:00,356.21,356.32,354.1,355.27,47949000,0.0,0.0,0.0
2020-12-23 00:00:00-05:00,356.27,357.57,355.25,355.59,46201400,0.0,0.0,0.0
2020-12-24 00:00:00-05:00,356.08,357.0,355.47,356.97,26457900,0.0,0.0,0.0
2020-12-28 00:00:00-05:00,359.62,360.44,358.97,360.04,39000400,0.0,0.0,0.0
2020-12-29 00:00:00-05:00,361.62,361.81,358.74,359.35,53680500,0.0,0.0,0.0
2020-12-30 00:00:00-05:00,360.2,360.94,359.46,359.86,49455300,0.0,0.0,0.0
2020-12-31 00:00:00-05:00,359.66,362.45,359.13,361.69,78520700,0.0,0.0,0.0
2021-01-04 00:00:00-05:00,363.07,363.21,352.93,356.77,110210800,0.0,0.0,0.0
2021-01-05 00:00:00-05:00,356.1,360.36,356.05,359.22,66426200,0.0,0.0,0.0
2021-01-06 00:00:00-05:00,357.66,364.69,357.09,361.37,107997700,0.0,0.0,0.0
2021-01-07 00:00:00-05:00,363.84,367.51,363.66,366.74,68766800,0.0,0.0,0.0
2021-01-08 00:00:00-05:00,368.18,369.05,364.81,368.83,71677200,0.0,0.0,0.0
2021-01-11 00:00:00-05:00,365.53,368.17,365.41,366.34,51034700,0.0,0.0,0.0
2021-01-12 00:00:00-05:00,366.54,367.48,364.09,366.42,52547700,0.0,0.0,0.0
2021-01-13 00:00:00-05:00,366.34,368.44,365.53,367.41,45303600,0.0,0.0,0.0
2021-01-14 00:00:00-05:00,368.18,368.7,365.77,366.12,49989100,0.0,0.0,0.0
2021-01-15 00:00:00-05:00,364.44,365.27,361.52,363.45,107160000,0.0,0.0,0.0
2021-01-19 00:00:00-05:00,366.01,366.87,364.47,366.31,51233300,0.0,0.0,0.0
2021-01-20 00:00:00-05:00,368.69,372.25,368.28,371.37,61836100,0.0,0.0,0.0
2021-01-21 00:00:00-05:00,371.96,372.4,370.76,371.71,47840100,0.0,0.0,0.0
2021-01-22 00:00:00-05:00,369.79,371.61,369.39,370.4,52860500,0.0,0.0,0.0
2021-01-25 00:00:00-05:00,371.16,372.23,366.12,371.86,70402000,0.0,0.0,0.0
2021-01-26 00:00:00-05:00,372.85,373.27,371.04,371.28,42665300,0.0,0.0,0.0
2021-01-27 00:00:00-05:00,367.82,367.92,359.88,362.2,123351100,0.0,0.0,0.0
2021-01-28 00:00:00-05:00,364.09,369.48,363.64,365.32,94198100,0.0,0.0,0.0
2021-01-29 00:00:00-05:00,363.38,364.39,356.26,358.01,126765100,0.0,0.0,0.0
2021-02-01 00:00:00-05:00,361.54,365.04,358.31,363.96,75817600,0.0,0.0,0.0
2021-02-02 00:00:00-05:00,367.27,370.73,364.05,369.11,64450700,0.0,0.0,0.0
2021-02-03 00:00:00-05:00,369.97,371.19,368.08,369.4,52427100,0.0,0.0,0.0
2021-02-04 00:00:00-05:00,370.48,373.65,369.52,373.6,47142600,0.0,0.0,0.0
2021-02-05 00:00:00-05:00,375.54,375.81,373.55,375.07,48669800,0.0,0.0,0.0
